iter	Passed	Remaining
0	187	37335
1	241	23951
2	292	19178
3	340	16671
4	386	15075
5	437	14143
6	489	13493
7	534	12826
8	574	12181
9	615	11700
10	658	11305
11	695	10894
12	734	10567
13	775	10300
14	816	10070
15	855	9840
16	896	9651
17	938	9492
18	980	9337
19	1025	9227
20	1064	9072
21	1106	8952
22	1148	8837
23	1193	8751
24	1230	8616
25	1271	8507
26	1310	8396
27	1351	8302
28	1398	8249
29	1434	8129
30	1475	8042
31	1515	7957
32	1552	7855
33	1596	7792
34	1636	7713
35	1677	7640
36	1719	7574
37	1760	7503
38	1800	7434
39	1837	7349
40	1875	7274
41	1920	7223
42	1961	7161
43	2002	7100
44	2043	7037
45	2094	7013
46	2140	6967
47	2197	6960
48	2249	6931
49	2305	6915
50	2360	6896
51	2409	6856
52	2465	6837
53	2510	6788
54	2559	6748
55	2606	6701
56	2652	6653
57	2696	6600
58	2740	6548
59	2786	6501
60	2831	6452
61	2875	6399
62	2922	6354
63	2966	6303
64	3007	6245
65	3055	6202
66	3098	6151
67	3140	6095
68	3182	6041
69	3223	5986
70	3263	5930
71	3306	5878
72	3351	5829
73	3394	5780
74	3436	5728
75	3482	5682
76	3526	5633
77	3571	5586
78	3624	5551
79	3665	5498
80	3707	5446
81	3750	5397
82	3793	5347
83	3834	5295
84	3878	5247
85	3921	5198
86	3964	5148
87	4007	5101
88	4066	5071
89	4115	5029
90	4161	4984
91	4211	4943
92	4260	4901
93	4312	4862
94	4361	4820
95	4409	4776
96	4462	4738
97	4511	4695
98	4556	4648
99	4597	4597
100	4645	4553
101	4688	4504
102	4726	4451
103	4768	4401
104	4810	4352
105	4850	4300
106	4891	4251
107	4931	4201
108	4977	4155
109	5013	4101
110	5049	4048
111	5092	4000
112	5136	3954
113	5180	3908
114	5224	3861
115	5263	3811
116	5306	3764
117	5349	3717
118	5389	3668
119	5428	3619
120	5462	3566
121	5504	3519
122	5546	3472
123	5586	3424
124	5633	3379
125	5673	3332
126	5712	3283
127	5753	3236
128	5792	3188
129	5831	3140
130	5873	3093
131	5917	3048
132	5961	3003
133	6003	2956
134	6048	2912
135	6094	2868
136	6146	2826
137	6198	2784
138	6248	2742
139	6299	2699
140	6356	2659
141	6405	2616
142	6454	2572
143	6502	2528
144	6546	2483
145	6589	2437
146	6628	2389
147	6668	2342
148	6711	2297
149	6753	2251
150	6793	2204
151	6830	2157
152	6862	2108
153	6904	2062
154	6950	2017
155	6992	1972
156	7036	1927
157	7075	1880
158	7116	1834
159	7161	1790
160	7204	1745
161	7248	1700
162	7284	1653
163	7321	1607
164	7359	1561
165	7398	1515
166	7438	1469
167	7481	1425
168	7517	1378
169	7557	1333
170	7599	1288
171	7645	1244
172	7686	1199
173	7725	1154
174	7762	1108
175	7805	1064
176	7847	1019
177	7892	975
178	7936	931
179	7984	887
180	8022	842
181	8067	797
182	8115	753
183	8167	710
184	8218	666
185	8271	622
186	8319	578
187	8369	534
188	8422	490
189	8471	445
190	8518	401
191	8563	356
192	8609	312
193	8655	267
194	8703	223
195	8746	178
196	8788	133
197	8826	89
198	8865	44
199	8909	0
